FDs Used,fs,fd,ms,md
['HOG'],0.7919999999999999,0.7339999999999999,0.742,0.7220000000000001
['LBP'],0.776,0.6920000000000001,0.7299999999999999,0.7540000000000001
['HOG' 'LBP'],0.8240000000000001,0.7460000000000001,0.774,0.776
['SIFT'],0.752,0.6539999999999999,0.7140000000000001,0.6679999999999999
['HOG' 'SIFT'],0.79,0.7220000000000001,0.742,0.7459999999999999
['LBP' 'SIFT'],0.818,0.718,0.7899999999999999,0.756
['HOG' 'LBP' 'SIFT'],0.8220000000000001,0.74,0.774,0.782
['VGG'],0.75,0.6719999999999999,0.72,0.7300000000000001
['HOG' 'VGG'],0.8240000000000001,0.758,0.784,0.7859999999999999
['LBP' 'VGG'],0.8140000000000001,0.732,0.7799999999999999,0.796
['HOG' 'LBP' 'VGG'],0.8399999999999999,0.7659999999999999,0.7979999999999999,0.818
['SIFT' 'VGG'],0.8059999999999998,0.726,0.762,0.752
['HOG' 'SIFT' 'VGG'],0.8320000000000001,0.748,0.7859999999999999,0.7719999999999999
['LBP' 'SIFT' 'VGG'],0.834,0.7619999999999999,0.784,0.806
['HOG' 'LBP' 'SIFT' 'VGG'],0.8379999999999999,0.768,0.8019999999999999,0.8
