FDs Used,fs,fd,ms,md
['HOG'],0.784,0.752,0.7539999999999999,0.72
['LBP'],0.784,0.714,0.712,0.762
['HOG' 'LBP'],0.826,0.766,0.762,0.768
['SIFT'],0.742,0.692,0.7440000000000001,0.7040000000000001
['HOG' 'SIFT'],0.788,0.74,0.79,0.7300000000000001
['LBP' 'SIFT'],0.7939999999999999,0.726,0.77,0.76
['HOG' 'LBP' 'SIFT'],0.8160000000000001,0.75,0.806,0.776
['VGG'],0.7420000000000001,0.67,0.708,0.7260000000000001
['HOG' 'VGG'],0.8280000000000001,0.754,0.79,0.758
['LBP' 'VGG'],0.8019999999999999,0.7259999999999999,0.76,0.804
['HOG' 'LBP' 'VGG'],0.842,0.7700000000000001,0.796,0.82
['SIFT' 'VGG'],0.8160000000000001,0.722,0.774,0.758
['HOG' 'SIFT' 'VGG'],0.8379999999999999,0.7540000000000001,0.8,0.764
['LBP' 'SIFT' 'VGG'],0.828,0.748,0.792,0.796
['HOG' 'LBP' 'SIFT' 'VGG'],0.8459999999999999,0.764,0.8140000000000001,0.8
