FDs Used,fs,fd,ms,md
['HOG'],0.7310483870967742,0.6796296296296296,0.6721014492753623,0.6582222222222223
['LBP'],0.779233870967742,0.6904558404558405,0.6369565217391304,0.7047407407407408
['HOG' 'LBP'],0.753125,0.7094017094017093,0.6972826086956522,0.7133333333333332
['SIFT'],0.743649193548387,0.6384615384615385,0.6634057971014493,0.6447407407407407
['HOG' 'SIFT'],0.7692540322580645,0.6833333333333333,0.6978260869565217,0.7133333333333332
['LBP' 'SIFT'],0.7952620967741936,0.6867521367521368,0.6760869565217391,0.7133333333333332
['HOG' 'LBP' 'SIFT'],0.7790322580645161,0.6982905982905983,0.7148550724637681,0.7222222222222222
['VGG'],0.6924395161290323,0.6643874643874644,0.7108695652173913,0.7136296296296296
['HOG' 'VGG'],0.7594758064516128,0.7128205128205128,0.7105072463768116,0.784148148148148
['LBP' 'VGG'],0.8045362903225806,0.7242165242165243,0.7365942028985507,0.7764444444444444
['HOG' 'LBP' 'VGG'],0.794858870967742,0.7470085470085469,0.7235507246376811,0.7804444444444444
['SIFT' 'VGG'],0.7691532258064516,0.6984330484330484,0.736231884057971,0.7983703703703704
['HOG' 'SIFT' 'VGG'],0.8175403225806452,0.7242165242165243,0.7494565217391305,0.776148148148148
['LBP' 'SIFT' 'VGG'],0.8334677419354838,0.7092592592592593,0.7449275362318841,0.7875555555555555
['HOG' 'LBP' 'SIFT' 'VGG'],0.8110887096774194,0.7391737891737892,0.7405797101449275,0.7690370370370371
