FDs Used,fs,fd,ms,md,fms,fmd
['HOG'],0.7681589877330242,0.760662036352889,0.779957500241476,0.7954632776710506,0.8152757654786053,0.7815033742180189
['LBP'],0.7553655945136676,0.7031377764642135,0.7249396310248237,0.7437860203930841,0.7848932676518884,0.7666371114723413
['HOG' 'LBP'],0.8103834637303198,0.782532880153687,0.7740703177822853,0.8212600364514063,0.8447744615087414,0.819245357371558
['SIFT'],0.7642567371776297,0.7477562681641298,0.7603206799961363,0.7477710457612925,0.8015357867284847,0.7805182010738387
['HOG' 'SIFT'],0.7995943204868154,0.7944239200039407,0.7966628030522555,0.8014087975961776,0.8349270742779872,0.8023988966060787
['LBP' 'SIFT'],0.8035303776683088,0.7716122358504507,0.7779822273737081,0.7954238707452836,0.8359364435429344,0.8043199842372296
['HOG' 'LBP' 'SIFT'],0.8212112431179369,0.8083690458598098,0.7976190476190477,0.8212649623171273,0.8506374963778616,0.8281858036549924
['VGG'],0.7563846228146431,0.7716270134476134,0.7701487491548343,0.7497364661839319,0.7957113880034772,0.745721885621398
['HOG' 'VGG'],0.8192697768762678,0.804354465297276,0.8231816864676906,0.8351559036500664,0.8506519849319037,0.8063149598541944
['LBP' 'VGG'],0.8153192311407322,0.7775626816412985,0.7956872404134068,0.8043987980887641,0.8438423645320198,0.80831486133688
['HOG' 'LBP' 'VGG'],0.8428088476770019,0.8093295896753855,0.8212305611899933,0.8361361509285258,0.873254129237902,0.8311511748189744
['SIFT' 'VGG'],0.7937216265816672,0.7974434756908527,0.8094610257896262,0.7994088961134919,0.8447454844006568,0.7993842667848874
['HOG' 'SIFT' 'VGG'],0.8271177436491838,0.8123195901679721,0.8261566695643776,0.8242254076153884,0.852598280691587,0.8222058026698191
['LBP' 'SIFT' 'VGG'],0.8212209021539649,0.7994335254420963,0.8074809234038443,0.8172897886803605,0.8496619337390129,0.8271710753164868
['HOG' 'LBP' 'SIFT' 'VGG'],0.840881869989375,0.8202699374415052,0.8241958852506521,0.8361558543914093,0.8663624070317782,0.8430668439978326
