FDs Used,fs,fd,ms,md
['HOG'],0.788,0.732,0.722,0.718
['LBP'],0.79,0.702,0.716,0.742
['SIFT'],0.77,0.662,0.716,0.696
['VGG'],0.746,0.678,0.722,0.728
['CFN'],0.742,0.74,0.742,0.732

['HOG' 'LBP'],0.826,0.756,0.786,0.78
['HOG' 'SIFT'],0.79,0.716,0.744,0.752
['LBP' 'SIFT'],0.818,0.72,0.78,0.78
['HOG' 'VGG'],0.822,0.75,0.774,0.762
['LBP' 'VGG'],0.814,0.738,0.772,0.778
['SIFT' 'VGG'],0.812,0.704,0.778,0.766
['HOG' 'CFN'],0.822,0.78,0.816,0.792
['LBP' 'CFN'],0.812,0.76,0.772,0.786
['SIFT' 'CFN'],0.806,0.764,0.798,0.792
['VGG' 'CFN'],0.814,0.746,0.788,0.792

['HOG' 'LBP' 'SIFT'],0.816,0.752,0.79,0.778
['HOG' 'LBP' 'VGG'],0.82,0.756,0.802,0.812
['HOG' 'SIFT' 'VGG'],0.838,0.758,0.796,0.786
['LBP' 'SIFT' 'VGG'],0.83,0.76,0.806,0.808
['HOG' 'LBP' 'CFN'],0.834,0.79,0.82,0.82
['HOG' 'SIFT' 'CFN'],0.832,0.778,0.832,0.798
['LBP' 'SIFT' 'CFN'],0.83,0.77,0.812,0.832
['HOG' 'VGG' 'CFN'],0.848,0.776,0.822,0.832
['LBP' 'VGG' 'CFN'],0.828,0.776,0.82,0.816
['SIFT' 'VGG' 'CFN'],0.842,0.752,0.842,0.812

['HOG' 'LBP' 'SIFT' 'VGG'],0.848,0.768,0.802,0.814
['HOG' 'LBP' 'SIFT' 'CFN'],0.846,0.798,0.822,0.828
['HOG' 'LBP' 'VGG' 'CFN'],0.85,0.79,0.838,0.834
['HOG' 'SIFT' 'VGG' 'CFN'],0.856,0.784,0.834,0.822
['LBP' 'SIFT' 'VGG' 'CFN'],0.848,0.786,0.842,0.836

['HOG' 'LBP' 'SIFT' 'VGG' 'CFN'],0.854,0.792,0.836,0.834

