FDs Used,fs,fd,ms,md
['HOG'],0.766,0.74,0.778,0.71
['LBP'],0.77,0.732,0.72,0.756
['SIFT'],0.76,0.678,0.742,0.702
['VGG'],0.746,0.668,0.72,0.73

['HOG' 'LBP'],0.816,0.754,0.77,0.77
['HOG' 'SIFT'],0.786,0.726,0.794,0.722
['LBP' 'SIFT'],0.79,0.746,0.784,0.774
['HOG' 'VGG'],0.834,0.742,0.776,0.76
['LBP' 'VGG'],0.8,0.744,0.758,0.792
['SIFT' 'VGG'],0.812,0.71,0.774,0.746

['HOG' 'LBP' 'SIFT'],0.804,0.762,0.812,0.772
['HOG' 'LBP' 'VGG'],0.838,0.774,0.82,0.796
['HOG' 'SIFT' 'VGG'],0.822,0.76,0.818,0.762
['LBP' 'SIFT' 'VGG'],0.84,0.766,0.802,0.79

['HOG' 'LBP' 'SIFT' 'VGG'],0.838,0.778,0.832,0.78

