FDs Used,fs,fd,ms,md
['HOG'],0.731,0.6796,0.6721,0.6582
['LBP'],0.7792,0.6905,0.637,0.7047
['SIFT'],0.7436,0.6385,0.6634,0.6447
['VGG'],0.6924,0.6644,0.7109,0.7136
['CFN'],0.6439,0.6422,0.6551,0.6927

['HOG' 'LBP'],0.7531,0.7094,0.6973,0.7133
['HOG' 'SIFT'],0.7693,0.6833,0.6978,0.7133
['LBP' 'SIFT'],0.7953,0.6868,0.6761,0.7133
['HOG' 'VGG'],0.7595,0.7128,0.7105,0.7841
['LBP' 'VGG'],0.8045,0.7242,0.7366,0.7764
['SIFT' 'VGG'],0.7692,0.6984,0.7362,0.7984
['HOG' 'CFN'],0.7407,0.7202,0.6721,0.7324
['LBP' 'CFN'],0.7724,0.6832,0.685,0.7324
['SIFT' 'CFN'],0.7629,0.6642,0.6808,0.7407
['VGG' 'CFN'],0.7529,0.6682,0.719,0.7516

['HOG' 'LBP' 'SIFT'],0.779,0.6983,0.7149,0.7222
['HOG' 'LBP' 'VGG'],0.7949,0.747,0.7236,0.7804
['HOG' 'SIFT' 'VGG'],0.8175,0.7242,0.7495,0.7761
['LBP' 'SIFT' 'VGG'],0.8335,0.7093,0.7449,0.7876
['HOG' 'LBP' 'CFN'],0.7789,0.7244,0.6893,0.7756
['HOG' 'SIFT' 'CFN'],0.7951,0.6907,0.7107,0.753
['LBP' 'SIFT' 'CFN'],0.7983,0.7019,0.7145,0.7564
['HOG' 'VGG' 'CFN'],0.7755,0.7091,0.7275,0.7799
['LBP' 'VGG' 'CFN'],0.7915,0.7353,0.7451,0.7759
['SIFT' 'VGG' 'CFN'],0.7822,0.6644,0.7531,0.7759

['HOG' 'LBP' 'SIFT' 'VGG'],0.8111,0.7392,0.7406,0.769
['HOG' 'LBP' 'SIFT' 'CFN'],0.8078,0.6944,0.6931,0.753
['HOG' 'LBP' 'VGG' 'CFN'],0.7916,0.758,0.715,0.7801
['HOG' 'SIFT' 'VGG' 'CFN'],0.8044,0.7091,0.7319,0.7839
['LBP' 'SIFT' 'VGG' 'CFN'],0.8303,0.7016,0.7192,0.7839

['HOG' 'LBP' 'SIFT' 'VGG' 'CFN'],0.8239,0.7429,0.719,0.8116

